,Forecast
2019-10-01,93.79427320628685
2019-11-01,98.58578153731321
2019-12-01,112.21190122683335
2020-01-01,121.79933635941791
2020-02-01,108.2557916101225
2020-03-01,102.93095394845459
2020-04-01,89.45812821220149
2020-05-01,92.1030641666642
2020-06-01,102.27353678438452
2020-07-01,114.81054430419684
2020-08-01,113.8099316882319
2020-09-01,102.57963275193542
2020-10-01,94.94733527614258
2020-11-01,99.7965077848733
2020-12-01,113.58856016853234
2021-01-01,123.29209151669548
2021-02-01,109.58120535652975
2021-03-01,104.18988936805482
2021-04-01,90.55116514572305
2021-05-01,93.22727336546207
2021-06-01,103.52061819461137
2021-07-01,116.20907573065345
2021-08-01,115.19486859094125
2021-09-01,103.82664518132816
2021-10-01,96.1003973459983
2021-11-01,101.00723403243337
2021-12-01,114.96521911023133
2022-01-01,124.78484667397304
2022-02-01,110.906619102937
2022-03-01,105.44882478765506
2022-04-01,91.6442020792446
2022-05-01,94.35148256425994
2022-06-01,104.76769960483823
2022-07-01,117.60760715711005
2022-08-01,116.57980549365061
2022-09-01,105.07365761072089
